RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
6,262,,,,,,
1,179,,,,,,
4,228,,,,,,
1,172,,,,,,
1,25,,,,,,
0,228,,,,,,
2,11,,,,,,
4,236,,,,,,
0,230,,,,,,
1,259,,,,,,
4,115,,,,,,
3,251,,,,,,
1,211,,,,,,
0,94,,,,,,
4,106,,,,,,
2,45,,,,,,
3,36,,,,,,
0,220,,,,,,
3,98,,,,,,
4,202,,,,,,
3,75,,,,,,
4,244,,,,,,
6,201,,,,,,
0,153,,,,,,
4,288,,,,,,
4,60,,,,,,
2,46,,,,,,
1,101,,,,,,
2,100,,,,,,
4,103,,,,,,
3,211,,,,,,
0,258,,,,,,
0,66,,,,,,
6,85,,,,,,
4,126,,,,,,
2,55,,,,,,
1,180,,,,,,
3,220,,,,,,
6,160,,,,,,
2,162,,,,,,
3,119,,,,,,
1,81,,,,,,
4,268,,,,,,
4,291,,,,,,
0,292,,,,,,
2,101,,,,,,
4,83,,,,,,
4,140,,,,,,
6,48,,,,,,
0,267,,,,,,
0,108,,,,,,
1,76,,,,,,
6,72,,,,,,
6,150,,,,,,
1,121,,,,,,
4,42,,,,,,
0,35,,,,,,
0,70,,,,,,
1,67,,,,,,
3,46,,,,,,
4,84,,,,,,
3,10,,,,,,
0,105,,,,,,
2,25,,,,,,
1,75,,,,,,
3,193,,,,,,
6,141,,,,,,
4,218,,,,,,
1,209,,,,,,
6,25,,,,,,
2,298,,,,,,
1,14,,,,,,
4,66,,,,,,
0,50,,,,,,
1,107,,,,,,
4,28,,,,,,
3,171,,,,,,
4,55,,,,,,
3,228,,,,,,
2,95,,,,,,
6,211,,,,,,
2,194,,,,,,
2,268,,,,,,
4,212,,,,,,
6,37,,,,,,
2,150,,,,,,
6,98,,,,,,
2,251,,,,,,
1,35,,,,,,
6,288,,,,,,
4,120,,,,,,
2,114,,,,,,
0,5,,,,,,
1,281,,,,,,
3,214,,,,,,
1,163,,,,,,
6,99,,,,,,
0,190,,,,,,
6,123,,,,,,
1,190,,,,,,
1,171,,,,,,
3,294,,,,,,
2,2,,,,,,
3,238,,,,,,
4,286,,,,,,
1,299,,,,,,
0,60,,,,,,
6,189,,,,,,
6,243,,,,,,
2,249,,,,,,
0,183,,,,,,
4,189,,,,,,
4,229,,,,,,
0,284,,,,,,
3,113,,,,,,
2,258,,,,,,
1,231,,,,,,
0,205,,,,,,
3,207,,,,,,
6,268,,,,,,
4,238,,,,,,
4,142,,,,,,
1,133,,,,,,
3,29,,,,,,
6,93,,,,,,
3,86,,,,,,
0,83,,,,,,
1,129,,,,,,
3,50,,,,,,
2,190,,,,,,
0,49,,,,,,
2,49,,,,,,
1,264,,,,,,
3,181,,,,,,
1,191,,,,,,
2,54,,,,,,
6,52,,,,,,
2,260,,,,,,
6,257,,,,,,
1,54,,,,,,
0,207,,,,,,
1,45,,,,,,
0,224,,,,,,
1,7,,,,,,
6,106,,,,,,
4,44,,,,,,
1,210,,,,,,
0,132,,,,,,
2,22,,,,,,
1,147,,,,,,
1,186,,,,,,
1,90,,,,,,
4,124,,,,,,
0,278,,,,,,
6,73,,,,,,
3,68,,,,,,
1,166,,,,,,
4,266,,,,,,
4,182,,,,,,
4,181,,,,,,
2,193,,,,,,
4,261,,,,,,
0,51,,,,,,
4,35,,,,,,
1,131,,,,,,
1,300,,,,,,
3,57,,,,,,
1,117,,,,,,
0,30,,,,,,
1,256,,,,,,
1,249,,,,,,
3,267,,,,,,
3,126,,,,,,
3,32,,,,,,
6,219,,,,,,
4,152,,,,,,
3,85,,,,,,
6,283,,,,,,
3,249,,,,,,
