U2,tickle_frequency,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.14,92,,,,,,,
-0.15,88,,,,,,,
-0.16,175,,,,,,,
-0.14,118,,,,,,,
-0.18,107,,,,,,,
-0.13,58,,,,,,,
-0.15,6,,,,,,,
-0.15,176,,,,,,,
-0.14,47,,,,,,,
-0.13,199,,,,,,,
-0.16,123,,,,,,,
-0.18,4,,,,,,,
-0.13,130,,,,,,,
-0.17,19,,,,,,,
-0.13,193,,,,,,,
-0.15,168,,,,,,,
-0.17,83,,,,,,,
-0.16,149,,,,,,,
-0.17,130,,,,,,,
-0.14,95,,,,,,,
-0.15,56,,,,,,,
-0.16,76,,,,,,,
-0.14,58,,,,,,,
-0.14,87,,,,,,,
-0.13,118,,,,,,,
-0.14,10,,,,,,,
-0.17,107,,,,,,,
-0.13,168,,,,,,,
-0.13,2,,,,,,,
-0.17,16,,,,,,,
-0.15,164,,,,,,,
-0.13,47,,,,,,,
-0.15,13,,,,,,,
-0.17,118,,,,,,,
-0.17,106,,,,,,,
-0.15,173,,,,,,,
-0.14,181,,,,,,,
-0.16,83,,,,,,,
-0.15,4,,,,,,,
-0.18,105,,,,,,,
-0.14,146,,,,,,,
-0.16,5,,,,,,,
-0.16,16,,,,,,,
-0.15,85,,,,,,,
-0.16,12,,,,,,,
-0.14,57,,,,,,,
-0.18,45,,,,,,,
-0.14,138,,,,,,,
-0.18,22,,,,,,,
-0.17,34,,,,,,,
-0.17,95,,,,,,,
-0.15,36,,,,,,,
-0.16,140,,,,,,,
-0.14,25,,,,,,,
-0.18,93,,,,,,,
-0.13,110,,,,,,,
-0.16,136,,,,,,,
-0.14,8,,,,,,,
-0.18,26,,,,,,,
-0.15,48,,,,,,,
-0.15,151,,,,,,,
-0.13,56,,,,,,,
-0.13,139,,,,,,,
-0.14,189,,,,,,,
-0.17,7,,,,,,,
-0.17,61,,,,,,,
-0.13,73,,,,,,,
-0.18,184,,,,,,,
-0.14,53,,,,,,,
-0.17,172,,,,,,,
-0.18,100,,,,,,,
-0.16,143,,,,,,,
-0.17,195,,,,,,,
-0.14,169,,,,,,,
-0.13,62,,,,,,,
-0.16,137,,,,,,,
-0.18,76,,,,,,,
-0.13,129,,,,,,,
-0.17,4,,,,,,,
-0.18,59,,,,,,,
-0.14,115,,,,,,,
-0.16,55,,,,,,,
-0.18,193,,,,,,,
-0.15,15,,,,,,,
-0.14,107,,,,,,,
-0.17,109,,,,,,,
-0.18,165,,,,,,,
-0.15,103,,,,,,,
-0.13,70,,,,,,,
-0.14,141,,,,,,,
-0.14,61,,,,,,,
-0.13,33,,,,,,,
-0.14,165,,,,,,,
-0.14,73,,,,,,,
-0.16,138,,,,,,,
-0.17,198,,,,,,,
-0.17,35,,,,,,,
-0.15,180,,,,,,,
-0.17,183,,,,,,,
-0.16,102,,,,,,,
-0.13,24,,,,,,,
-0.17,44,,,,,,,
-0.14,14,,,,,,,
-0.18,47,,,,,,,
-0.15,196,,,,,,,
-0.13,42,,,,,,,
-0.15,142,,,,,,,
-0.13,200,,,,,,,
-0.16,99,,,,,,,
-0.17,96,,,,,,,
-0.16,194,,,,,,,
-0.18,9,,,,,,,
-0.14,69,,,,,,,
-0.14,179,,,,,,,
-0.15,128,,,,,,,
-0.18,122,,,,,,,
-0.15,149,,,,,,,
-0.14,64,,,,,,,
-0.14,187,,,,,,,
-0.14,155,,,,,,,
-0.13,95,,,,,,,
-0.13,66,,,,,,,
-0.16,111,,,,,,,
-0.17,117,,,,,,,
-0.13,100,,,,,,,
-0.15,69,,,,,,,
-0.18,73,,,,,,,
-0.13,172,,,,,,,
-0.18,167,,,,,,,
-0.14,4,,,,,,,
-0.15,12,,,,,,,
-0.17,128,,,,,,,
-0.13,147,,,,,,,
-0.14,60,,,,,,,
-0.15,177,,,,,,,
-0.17,38,,,,,,,
-0.18,97,,,,,,,
-0.14,32,,,,,,,
-0.14,51,,,,,,,
-0.13,80,,,,,,,
-0.14,134,,,,,,,
-0.17,33,,,,,,,
-0.18,154,,,,,,,
-0.17,5,,,,,,,
-0.16,160,,,,,,,
-0.13,54,,,,,,,
-0.16,92,,,,,,,
-0.17,154,,,,,,,
-0.14,68,,,,,,,
-0.18,65,,,,,,,
-0.13,4,,,,,,,
-0.13,174,,,,,,,
-0.16,191,,,,,,,
-0.17,66,,,,,,,
-0.15,106,,,,,,,
-0.14,180,,,,,,,
-0.17,75,,,,,,,
-0.18,155,,,,,,,
-0.14,176,,,,,,,
-0.18,188,,,,,,,
-0.15,26,,,,,,,
-0.17,69,,,,,,,
-0.15,33,,,,,,,
-0.13,180,,,,,,,
-0.16,31,,,,,,,
-0.15,172,,,,,,,
-0.17,9,,,,,,,
-0.17,10,,,,,,,
-0.18,18,,,,,,,
-0.18,168,,,,,,,
-0.14,175,,,,,,,
-0.17,60,,,,,,,
-0.16,41,,,,,,,
-0.17,166,,,,,,,
-0.14,19,,,,,,,
-0.16,22,,,,,,,
-0.17,84,,,,,,,
-0.18,49,,,,,,,
-0.17,91,,,,,,,
-0.14,6,,,,,,,
-0.16,21,,,,,,,
-0.15,63,,,,,,,
-0.15,94,,,,,,,
-0.16,125,,,,,,,
-0.16,36,,,,,,,
-0.16,146,,,,,,,
-0.13,138,,,,,,,
-0.18,156,,,,,,,
-0.13,144,,,,,,,
-0.14,117,,,,,,,
-0.18,161,,,,,,,
-0.17,98,,,,,,,
-0.16,77,,,,,,,
-0.18,120,,,,,,,
-0.15,7,,,,,,,
-0.15,145,,,,,,,
-0.13,37,,,,,,,
-0.15,189,,,,,,,
-0.17,94,,,,,,,
